review_priority,stable_id,image_id,image_name,instance_index,vertex_count,area_ratio,signals,likely_issue,decision_required,human_decision
P3,image-0000-instance-001,0,20260729_092402.jpg,1,4,0.01175942,UNVERIFIED_HUMAN_ANNOTATION,"Bu insan çizimi polygon, görünür ön yüz kurallarına göre henüz doğrulanmadı.","Ön yüz kapsamını, yan yüzlerin dışarıda kalmasını, gölge/örtüşme sınırını ve çizim hassasiyetini kontrol edip insan kararını kaydedin.",
P3,image-0000-instance-002,0,20260729_092402.jpg,2,4,0.01545208,UNVERIFIED_HUMAN_ANNOTATION,"Bu insan çizimi polygon, görünür ön yüz kurallarına göre henüz doğrulanmadı.","Ön yüz kapsamını, yan yüzlerin dışarıda kalmasını, gölge/örtüşme sınırını ve çizim hassasiyetini kontrol edip insan kararını kaydedin.",
P2,image-0000-instance-003,0,20260729_092402.jpg,3,4,0.01697572,FRAME_BOUNDARY_TRUNCATION_REVIEW|UNVERIFIED_HUMAN_ANNOTATION,Şekil veya görüntü sınırında kesilme fiziksel olarak yorumlanmalı; köşe sayısı tek başına hata değildir.,"Polygonun yalnızca görünen ön yüzü izlediğini, örtücü nesnede/görüntü kenarında durduğunu ve gizli geometri uydurmadığını doğrulayın.",
P3,image-0000-instance-004,0,20260729_092402.jpg,4,4,0.01386409,UNVERIFIED_HUMAN_ANNOTATION,"Bu insan çizimi polygon, görünür ön yüz kurallarına göre henüz doğrulanmadı.","Ön yüz kapsamını, yan yüzlerin dışarıda kalmasını, gölge/örtüşme sınırını ve çizim hassasiyetini kontrol edip insan kararını kaydedin.",
P3,image-0000-instance-005,0,20260729_092402.jpg,5,4,0.01432798,UNVERIFIED_HUMAN_ANNOTATION,"Bu insan çizimi polygon, görünür ön yüz kurallarına göre henüz doğrulanmadı.","Ön yüz kapsamını, yan yüzlerin dışarıda kalmasını, gölge/örtüşme sınırını ve çizim hassasiyetini kontrol edip insan kararını kaydedin.",
P3,image-0000-instance-006,0,20260729_092402.jpg,6,4,0.02143023,UNVERIFIED_HUMAN_ANNOTATION,"Bu insan çizimi polygon, görünür ön yüz kurallarına göre henüz doğrulanmadı.","Ön yüz kapsamını, yan yüzlerin dışarıda kalmasını, gölge/örtüşme sınırını ve çizim hassasiyetini kontrol edip insan kararını kaydedin.",
P3,image-0001-instance-001,1,20260729_092409.jpg,1,4,0.00690786,UNVERIFIED_HUMAN_ANNOTATION,"Bu insan çizimi polygon, görünür ön yüz kurallarına göre henüz doğrulanmadı.","Ön yüz kapsamını, yan yüzlerin dışarıda kalmasını, gölge/örtüşme sınırını ve çizim hassasiyetini kontrol edip insan kararını kaydedin.",
P2,image-0001-instance-002,1,20260729_092409.jpg,2,5,0.01079769,FRAME_BOUNDARY_TRUNCATION_REVIEW|MULTISIDED_VISIBLE_REGION_REVIEW|UNVERIFIED_HUMAN_ANNOTATION,Şekil veya görüntü sınırında kesilme fiziksel olarak yorumlanmalı; köşe sayısı tek başına hata değildir.,"Polygonun yalnızca görünen ön yüzü izlediğini, örtücü nesnede/görüntü kenarında durduğunu ve gizli geometri uydurmadığını doğrulayın.",
P2,image-0001-instance-003,1,20260729_092409.jpg,3,6,0.00747264,CONCAVE_VISIBLE_REGION_REVIEW|MULTISIDED_VISIBLE_REGION_REVIEW|UNVERIFIED_HUMAN_ANNOTATION,Şekil veya görüntü sınırında kesilme fiziksel olarak yorumlanmalı; köşe sayısı tek başına hata değildir.,"Polygonun yalnızca görünen ön yüzü izlediğini, örtücü nesnede/görüntü kenarında durduğunu ve gizli geometri uydurmadığını doğrulayın.",
P3,image-0001-instance-004,1,20260729_092409.jpg,4,4,0.01249457,UNVERIFIED_HUMAN_ANNOTATION,"Bu insan çizimi polygon, görünür ön yüz kurallarına göre henüz doğrulanmadı.","Ön yüz kapsamını, yan yüzlerin dışarıda kalmasını, gölge/örtüşme sınırını ve çizim hassasiyetini kontrol edip insan kararını kaydedin.",
