review_priority,stable_id,image_id,image_name,instance_index,vertex_count,area_ratio,signals,likely_issue,decision_required,human_decision
P3,image-0000-instance-001,0,20260729_092432(0).jpg,1,4,0.00368756,UNVERIFIED_HUMAN_ANNOTATION,"Bu insan çizimi polygon, görünür ön yüz kurallarına göre henüz doğrulanmadı.","Ön yüz kapsamını, yan yüzlerin dışarıda kalmasını, gölge/örtüşme sınırını ve çizim hassasiyetini kontrol edip insan kararını kaydedin.",
P2,image-0000-instance-002,0,20260729_092432(0).jpg,2,5,0.00249664,MULTISIDED_VISIBLE_REGION_REVIEW|UNVERIFIED_HUMAN_ANNOTATION,Şekil veya görüntü sınırında kesilme fiziksel olarak yorumlanmalı; köşe sayısı tek başına hata değildir.,"Polygonun yalnızca görünen ön yüzü izlediğini, örtücü nesnede/görüntü kenarında durduğunu ve gizli geometri uydurmadığını doğrulayın.",
P2,image-0000-instance-003,0,20260729_092432(0).jpg,3,6,0.00517282,CONCAVE_VISIBLE_REGION_REVIEW|MULTISIDED_VISIBLE_REGION_REVIEW|UNVERIFIED_HUMAN_ANNOTATION,Şekil veya görüntü sınırında kesilme fiziksel olarak yorumlanmalı; köşe sayısı tek başına hata değildir.,"Polygonun yalnızca görünen ön yüzü izlediğini, örtücü nesnede/görüntü kenarında durduğunu ve gizli geometri uydurmadığını doğrulayın.",
P3,image-0000-instance-004,0,20260729_092432(0).jpg,4,4,0.00656566,UNVERIFIED_HUMAN_ANNOTATION,"Bu insan çizimi polygon, görünür ön yüz kurallarına göre henüz doğrulanmadı.","Ön yüz kapsamını, yan yüzlerin dışarıda kalmasını, gölge/örtüşme sınırını ve çizim hassasiyetini kontrol edip insan kararını kaydedin.",
P3,image-0000-instance-005,0,20260729_092432(0).jpg,5,4,0.00416847,UNVERIFIED_HUMAN_ANNOTATION,"Bu insan çizimi polygon, görünür ön yüz kurallarına göre henüz doğrulanmadı.","Ön yüz kapsamını, yan yüzlerin dışarıda kalmasını, gölge/örtüşme sınırını ve çizim hassasiyetini kontrol edip insan kararını kaydedin.",
P3,image-0000-instance-006,0,20260729_092432(0).jpg,6,4,0.00345044,UNVERIFIED_HUMAN_ANNOTATION,"Bu insan çizimi polygon, görünür ön yüz kurallarına göre henüz doğrulanmadı.","Ön yüz kapsamını, yan yüzlerin dışarıda kalmasını, gölge/örtüşme sınırını ve çizim hassasiyetini kontrol edip insan kararını kaydedin.",
P3,image-0000-instance-007,0,20260729_092432(0).jpg,7,4,0.00483871,UNVERIFIED_HUMAN_ANNOTATION,"Bu insan çizimi polygon, görünür ön yüz kurallarına göre henüz doğrulanmadı.","Ön yüz kapsamını, yan yüzlerin dışarıda kalmasını, gölge/örtüşme sınırını ve çizim hassasiyetini kontrol edip insan kararını kaydedin.",
P2,image-0000-instance-008,0,20260729_092432(0).jpg,8,5,0.00179884,CONCAVE_VISIBLE_REGION_REVIEW|MULTISIDED_VISIBLE_REGION_REVIEW|UNVERIFIED_HUMAN_ANNOTATION,Şekil veya görüntü sınırında kesilme fiziksel olarak yorumlanmalı; köşe sayısı tek başına hata değildir.,"Polygonun yalnızca görünen ön yüzü izlediğini, örtücü nesnede/görüntü kenarında durduğunu ve gizli geometri uydurmadığını doğrulayın.",
P3,image-0000-instance-009,0,20260729_092432(0).jpg,9,4,0.00554460,UNVERIFIED_HUMAN_ANNOTATION,"Bu insan çizimi polygon, görünür ön yüz kurallarına göre henüz doğrulanmadı.","Ön yüz kapsamını, yan yüzlerin dışarıda kalmasını, gölge/örtüşme sınırını ve çizim hassasiyetini kontrol edip insan kararını kaydedin.",
P2,image-0000-instance-010,0,20260729_092432(0).jpg,10,5,0.00272889,CONCAVE_VISIBLE_REGION_REVIEW|MULTISIDED_VISIBLE_REGION_REVIEW|UNVERIFIED_HUMAN_ANNOTATION,Şekil veya görüntü sınırında kesilme fiziksel olarak yorumlanmalı; köşe sayısı tek başına hata değildir.,"Polygonun yalnızca görünen ön yüzü izlediğini, örtücü nesnede/görüntü kenarında durduğunu ve gizli geometri uydurmadığını doğrulayın.",
